name,Measure,geo_type_name,geo_entity_id,geo_entity_name,year_description,data_value
Ozone (O3),Mean,UHF34,204,East New York,Summer 2016,34.26
Ozone (O3),Mean,UHF34,205,Sunset Park,Summer 2016,33.28
Ozone (O3),Mean,UHF34,206,Borough Park,Summer 2016,33.54
Ozone (O3),Mean,UHF34,207,East Flatbush - Flatbush,Summer 2016,33.66
Ozone (O3),Mean,UHF34,208,Canarsie - Flatlands,Summer 2016,35.79
Ozone (O3),Mean,UHF34,209,Bensonhurst - Bay Ridge,Summer 2016,34.25
Ozone (O3),Mean,UHF34,210,Coney Island - Sheepshead Bay,Summer 2016,35.62
Ozone (O3),Mean,UHF34,211,Williamsburg - Bushwick,Summer 2016,32.99
Ozone (O3),Mean,UHF34,301,Washington Heights,Summer 2016,31.92
Ozone (O3),Mean,UHF34,302,Central Harlem - Morningside Heights,Summer 2016,31.35
Ozone (O3),Mean,UHF34,303,East Harlem,Summer 2016,31.62
Ozone (O3),Mean,UHF34,304,Upper West Side,Summer 2016,30.54
Ozone (O3),Mean,UHF34,401,Long Island City - Astoria,Summer 2016,33.15
Ozone (O3),Mean,UHF34,402,West Queens,Summer 2016,33.12
Ozone (O3),Mean,UHF34,403,Flushing - Clearview,Summer 2016,33.45
Ozone (O3),Mean,UHF34,405,Ridgewood - Forest Hills,Summer 2016,33.48
Ozone (O3),Mean,UHF34,407,Southwest Queens,Summer 2016,34.34
Ozone (O3),Mean,UHF34,408,Jamaica,Summer 2016,33.86
Ozone (O3),Mean,UHF34,409,Southeast Queens,Summer 2016,34.29
Ozone (O3),Mean,UHF34,410,Rockaways,Summer 2016,38.18
Ozone (O3),Mean,UHF34,305307,Upper East Side-Gramercy,Summer 2016,28.92
Ozone (O3),Mean,UHF34,306308,Chelsea-Village  ,Summer 2016,29.19
Ozone (O3),Mean,UHF34,309310,Union Square-Lower Manhattan,Summer 2016,30.01
Ozone (O3),Mean,UHF34,404406,Bayside Little Neck-Fresh Meadows,Summer 2016,33.05
Ozone (O3),Mean,UHF34,501502,Northern SI,Summer 2016,33.91
Ozone (O3),Mean,UHF34,503504,Southern SI,Summer 2016,35.62
Ozone (O3),Mean,UHF34,105106107,South Bronx,Summer 2016,32.84
Adults with Asthma in the Past 12 Months,Percent,UHF34,101,Kingsbridge - Riverdale,2016,
Adults with Asthma in the Past 12 Months,Percent,UHF34,102,Northeast Bronx,2016,5.7
Adults with Asthma in the Past 12 Months,Percent,UHF34,103,Fordham - Bronx Pk,2016,2
Adults with Asthma in the Past 12 Months,Percent,UHF34,104,Pelham - Throgs Neck,2016,6.3
Adults with Asthma in the Past 12 Months,Percent,UHF34,201,Greenpoint,2016,
Adults with Asthma in the Past 12 Months,Percent,UHF34,202,Downtown - Heights - Slope,2016,2.5
Adults with Asthma in the Past 12 Months,Percent,UHF34,203,Bedford Stuyvesant - Crown Heights,2016,5.5
Adults with Asthma in the Past 12 Months,Percent,UHF34,204,East New York,2016,5.2
Adults with Asthma in the Past 12 Months,Percent,UHF34,205,Sunset Park,2016,1.6
Adults with Asthma in the Past 12 Months,Percent,UHF34,206,Borough Park,2016,2.3
Adults with Asthma in the Past 12 Months,Percent,UHF34,207,East Flatbush - Flatbush,2016,1.6
Adults with Asthma in the Past 12 Months,Percent,UHF34,208,Canarsie - Flatlands,2016,7.9
Adults with Asthma in the Past 12 Months,Percent,UHF34,209,Bensonhurst - Bay Ridge,2016,
Adults with Asthma in the Past 12 Months,Percent,UHF34,210,Coney Island - Sheepshead Bay,2016,3.5
Adults with Asthma in the Past 12 Months,Percent,UHF34,211,Williamsburg - Bushwick,2016,5
Adults with Asthma in the Past 12 Months,Percent,UHF34,301,Washington Heights,2016,3.8
Adults with Asthma in the Past 12 Months,Percent,UHF34,302,Central Harlem - Morningside Heights,2016,7.9
Adults with Asthma in the Past 12 Months,Percent,UHF34,303,East Harlem,2016,
Adults with Asthma in the Past 12 Months,Percent,UHF34,304,Upper West Side,2016,
Adults with Asthma in the Past 12 Months,Percent,UHF34,401,Long Island City - Astoria,2016,
Adults with Asthma in the Past 12 Months,Percent,UHF34,402,West Queens,2016,5
Adults with Asthma in the Past 12 Months,Percent,UHF34,403,Flushing - Clearview,2016,
Adults with Asthma in the Past 12 Months,Percent,UHF34,405,Ridgewood - Forest Hills,2016,4.9
Adults with Asthma in the Past 12 Months,Percent,UHF34,407,Southwest Queens,2016,2.8
Adults with Asthma in the Past 12 Months,Percent,UHF34,408,Jamaica,2016,
Adults with Asthma in the Past 12 Months,Percent,UHF34,409,Southeast Queens,2016,
Adults with Asthma in the Past 12 Months,Percent,UHF34,410,Rockaways,2016,10.6
Adults with Asthma in the Past 12 Months,Percent,UHF34,305307,Upper East Side-Gramercy,2016,6.4
Adults with Asthma in the Past 12 Months,Percent,UHF34,306308,Chelsea-Village  ,2016,
Adults with Asthma in the Past 12 Months,Percent,UHF34,309310,Union Square-Lower Manhattan,2016,1
Adults with Asthma in the Past 12 Months,Percent,UHF34,404406,Bayside Little Neck-Fresh Meadows,2016,6.4
Adults with Asthma in the Past 12 Months,Percent,UHF34,501502,Northern SI,2016,6.7
Adults with Asthma in the Past 12 Months,Percent,UHF34,503504,Southern SI,2016,5.9
Adults with Asthma in the Past 12 Months,Percent,UHF34,105106107,South Bronx,2016,8
Adults with Asthma in the Past 12 Months,Age-Adjusted Percent,UHF34,101,Kingsbridge - Riverdale,2016,7.9
Adults with Asthma in the Past 12 Months,Age-Adjusted Percent,UHF34,102,Northeast Bronx,2016,5
Adults with Asthma in the Past 12 Months,Age-Adjusted Percent,UHF34,103,Fordham - Bronx Pk,2016,1.6
Adults with Asthma in the Past 12 Months,Age-Adjusted Percent,UHF34,104,Pelham - Throgs Neck,2016,6.3
Adults with Asthma in the Past 12 Months,Age-Adjusted Percent,UHF34,201,Greenpoint,2016,
Adults with Asthma in the Past 12 Months,Age-Adjusted Percent,UHF34,202,Downtown - Heights - Slope,2016,2.5
Adults with Asthma in the Past 12 Months,Age-Adjusted Percent,UHF34,203,Bedford Stuyvesant - Crown Heights,2016,5.7
Adults with Asthma in the Past 12 Months,Age-Adjusted Percent,UHF34,204,East New York,2016,5.1
Adults with Asthma in the Past 12 Months,Age-Adjusted Percent,UHF34,205,Sunset Park,2016,1.6
Adults with Asthma in the Past 12 Months,Age-Adjusted Percent,UHF34,206,Borough Park,2016,2.4
Adults with Asthma in the Past 12 Months,Age-Adjusted Percent,UHF34,207,East Flatbush - Flatbush,2016,1.4
Adults with Asthma in the Past 12 Months,Age-Adjusted Percent,UHF34,208,Canarsie - Flatlands,2016,9.6
Adults with Asthma in the Past 12 Months,Age-Adjusted Percent,UHF34,209,Bensonhurst - Bay Ridge,2016,4.4
Adults with Asthma in the Past 12 Months,Age-Adjusted Percent,UHF34,210,Coney Island - Sheepshead Bay,2016,3
Adults with Asthma in the Past 12 Months,Age-Adjusted Percent,UHF34,211,Williamsburg - Bushwick,2016,5.3
Adults with Asthma in the Past 12 Months,Age-Adjusted Percent,UHF34,301,Washington Heights,2016,4.5
Adults with Asthma in the Past 12 Months,Age-Adjusted Percent,UHF34,302,Central Harlem - Morningside Heights,2016,7.1
Adults with Asthma in the Past 12 Months,Age-Adjusted Percent,UHF34,303,East Harlem,2016,
Adults with Asthma in the Past 12 Months,Age-Adjusted Percent,UHF34,304,Upper West Side,2016,
Adults with Asthma in the Past 12 Months,Age-Adjusted Percent,UHF34,401,Long Island City - Astoria,2016,
Adults with Asthma in the Past 12 Months,Age-Adjusted Percent,UHF34,402,West Queens,2016,4.7
Adults with Asthma in the Past 12 Months,Age-Adjusted Percent,UHF34,403,Flushing - Clearview,2016,
Adults with Asthma in the Past 12 Months,Age-Adjusted Percent,UHF34,405,Ridgewood - Forest Hills,2016,4.9
Adults with Asthma in the Past 12 Months,Age-Adjusted Percent,UHF34,407,Southwest Queens,2016,2.8
Adults with Asthma in the Past 12 Months,Age-Adjusted Percent,UHF34,408,Jamaica,2016,
Adults with Asthma in the Past 12 Months,Age-Adjusted Percent,UHF34,409,Southeast Queens,2016,
Adults with Asthma in the Past 12 Months,Age-Adjusted Percent,UHF34,410,Rockaways,2016,9.9
Adults with Asthma in the Past 12 Months,Age-Adjusted Percent,UHF34,305307,Upper East Side-Gramercy,2016,6.2
Adults with Asthma in the Past 12 Months,Age-Adjusted Percent,UHF34,306308,Chelsea-Village  ,2016,
Adults with Asthma in the Past 12 Months,Age-Adjusted Percent,UHF34,309310,Union Square-Lower Manhattan,2016,1
Adults with Asthma in the Past 12 Months,Age-Adjusted Percent,UHF34,404406,Bayside Little Neck-Fresh Meadows,2016,6.2
Adults with Asthma in the Past 12 Months,Age-Adjusted Percent,UHF34,501502,Northern SI,2016,6
Adults with Asthma in the Past 12 Months,Age-Adjusted Percent,UHF34,503504,Southern SI,2016,6.2
Adults with Asthma in the Past 12 Months,Age-Adjusted Percent,UHF34,105106107,South Bronx,2016,8.4
