
"Cigarette Smoking among Adults", ,
 ,Percent,,,,,,,,,,,,
Row Labels,2003,2004,2005,2006,2008,2009,2010,2012,2013,2014,2016,,
UHF42,
Kingsbridge - Riverdale,14.3,20.1,13.7,19,9.1,14.5,11.8,6.4,13.3,9,13.2,,
Northeast Bronx,15.6,11.2,17.9,14.3,13.6,15.5,10,16.3,16.8,8.6,9.6,,
Fordham - Bronx Pk,21.8,23.9,26.7,22,20.1,17,15.9,8.4,17.7,21.7,13.7,,
Pelham - Throgs Neck,24,25.4,18,19.4,18.5,19.3,16.5,22.3,13.2,21.4,17,,
Crotona -Tremont,24.9,20,22.1,20,17.8,20.4,19.3,17.3,17.4,15.9,17.4,,
High Bridge - Morrisania,24.9,20,22.1,20,17.8,20.4,19.3,17.3,17.4,15.9,11.5,,
Hunts Point - Mott Haven,24.9,20,22.1,20,17.8,20.4,19.3,17.3,17.4,15.9,11.2,,
Greenpoint,21.2,24.5,18.7,25.2,17.4,12.8,15.5,17.3,21,17.7,15.3,,
Downtown - Heights - Slope,23,17.5,19.6,15.6,14.3,14.3,13,16.9,17.7,6.9,13.6,,
Bedford Stuyvesant - Crown Heights,22.4,22.1,20.9,16.9,21,20.2,18.9,16.8,14.9,16.3,13.3,,
East New York,16.8,22,20,25,22.5,12,19.4,16.7,18.3,16.7,9.2,,
Sunset Park,22.2,19,14.3,7.8,12.1,12.4,5,12,12,17.7,12.2,,
Borough Park,13.9,15.8,16.4,13.1,11.4,21.4,11.7,12.4,20.5,11.8,12,,
East Flatbush - Flatbush,12.4,14.8,11.6,13.8,10.8,10.4,2.8,12.1,11,5.4,5.6,,
Canarsie - Flatlands,18.7,13.6,11.7,18.1,16.4,13.3,9.1,14.8,10,13.6,11.4,,
Bensonhurst - Bay Ridge,24.4,20.8,24.1,16.1,20.6,16.9,24,16.7,19,18.2,14,,
Coney Island - Sheepshead Bay,18.7,21,20.3,22.1,19.2,15.7,15.2,21.4,15.9,18.8,14.6,,
Williamsburg - Bushwick,26.3,20.1,28.6,19.2,15.8,23.2,19.1,18.2,17,16.2,16.3,,
Washington Heights,18.6,17.7,17.3,13.3,10.6,10.7,18.7,13,17.9,7.5,14.1,,
Central Harlem - Morningside Heights,21.7,25.6,22,15,18,21.9,12.5,16.1,19.4,23,9.9,,
East Harlem,27.4,26.5,26.6,31.4,20.9,12.9,17.3,18.6,18.4,20.2,25.8,,
Upper West Side,15.9,11.5,15.1,12.3,13.2,9.7,6.4,12.6,9.8,14,7.2,,
Upper East Side,14,13.1,19.3,15.9,12.4,15.4,12.3,12.8,14.6,9.2,4.7,,
Chelsea - Clinton,21.1,17.3,14.1,21.4,14.3,16.7,12.2,18.4,11.7,17.5,13.9,,
Gramercy Park - Murray Hill,14,13.1,19.3,15.9,12.4,15.4,12.3,12.8,14.6,9.2,14.3,,
Greenwich Village - SoHo,21.1,17.3,14.1,21.4,14.3,16.7,12.2,18.4,11.7,17.5,,,
Union Square - Lower East Side,20.7,20.6,21.6,15.9,13.4,18.5,11.7,22.8,19.5,9.6,22.8,,
Lower Manhattan,20.7,20.6,21.6,15.9,13.4,18.5,11.7,22.8,19.5,9.6,,,
Long Island City - Astoria,19.5,21.3,23.2,23.7,16.8,17.6,18.8,16,16,8.9,20,,
West Queens,21.5,16,18.7,14.2,19.6,15.8,13.4,15.9,13,11.8,14.6,,
Flushing - Clearview,20.7,19.2,19,16,13.5,16.3,20.3,16.3,19.2,13.7,12.3,,
Bayside - Little Neck,12.9,17.7,13.2,14.8,13.4,9.4,7.2,13.2,15.7,7.5,16.3,,
Ridgewood - Forest Hills,14.9,16.9,19.6,17.4,19.1,17.6,12.6,17.3,15.4,13.3,13.9,,
Fresh Meadows,12.9,17.7,13.2,14.8,13.4,9.4,7.2,13.2,15.7,7.5,9.8,,
Southwest Queens,19.6,11.2,17.9,15.9,17.2,10.1,17.1,11.9,19.5,18.9,12.3,,
Jamaica,15.4,11.8,17.8,17.7,11.5,13.4,15.6,13.8,16.2,13.5,13,,
Southeast Queens,16.6,13.4,14.9,9.8,6.4,9.8,4.9,9,14.6,7.7,10.8,,
Rockaways,22.9,21.3,9.2,17.5,14.2,24.4,18.1,18.6,20.1,20.6,18.4,,
Port Richmond,25.8,22.9,26,28,21.7,18.6,14.7,20,19,20.7,,,
Stapleton - St. George,25.8,22.9,26,28,21.7,18.6,14.7,20,19,20.7,14.7,,
Willowbrook,24.7,32.7,25.3,26.8,21,19.2,13.3,14.4,17.9,13.3,17.5,,
South Beach - Tottenville,24.7,32.7,25.3,26.8,21,19.2,13.3,14.4,17.9,13.3,16.4,,

"Adults Reporting Exercise in the Past 30 Days", ,
 ,Percent,,,,,,,,,,,
Row Labels,2003,2004,2005,2008,2010,2011,2012,2014,2015,2016,,
UHF42,
Kingsbridge - Riverdale,72.3,70.3,75.9,75.6,70.3,77,77.6,78.5,82.4,73.2,,
Northeast Bronx,65.1,70.8,67.9,70.4,71.3,76.8,79.8,77.2,71.9,64.2,,
Fordham - Bronx Pk,59.3,64.5,69.5,70.3,72.9,76.1,83.1,70.8,73.9,74.1,,
Pelham - Throgs Neck,60.6,71.2,71.2,70.1,76.5,73,74,82.9,74,72.6,,
Crotona -Tremont,57.7,60.9,61.5,67.2,69.9,76.1,72.8,72.8,70.2,64.6,,
